Date,Close
2017-12-01,398.9
2017-12-04,403.65
2017-12-05,402.25
2017-12-06,397.05
2017-12-07,402.0
2017-12-08,411.15
2017-12-11,410.15
2017-12-12,406.85
2017-12-13,401.95
2017-12-14,402.4
2017-12-15,405.1
2017-12-18,405.8
2017-12-19,420.1
2017-12-20,422.6
2017-12-21,420.8
2017-12-22,422.0
2017-12-26,424.2
2017-12-27,422.45
2017-12-28,418.6
2017-12-29,431.85
2018-01-01,424.45
2018-01-02,439.3
2018-01-03,433.9
2018-01-04,429.95
2018-01-05,431.6
2018-01-08,433.55
2018-01-09,437.55
2018-01-10,433.3
2018-01-11,434.75
2018-01-12,437.1
2018-01-15,432.35
2018-01-16,421.9
2018-01-17,422.95
2018-01-18,418.95
2018-01-19,418.05
2018-01-22,421.9
2018-01-23,418.0
2018-01-24,403.6
2018-01-25,400.3
2018-01-29,399.25
2018-01-30,395.85
2018-01-31,399.5
2018-02-01,393.65
2018-02-02,383.75
2018-02-05,395.8
2018-02-06,375.45
2018-02-07,377.8
2018-02-08,374.85
2018-02-09,368.75
2018-02-12,371.8
2018-02-14,376.85
2018-02-15,375.8
2018-02-16,370.75
2018-02-19,368.75
2018-02-20,369.3
2018-02-21,364.45
2018-02-22,358.5
2018-02-23,360.2
2018-02-26,372.05
2018-02-27,372.55
2018-02-28,369.9
2018-03-01,370.75
2018-03-05,352.05
2018-03-06,346.5
2018-03-07,347.8
2018-03-08,345.15
2018-03-09,341.5
2018-03-12,352.6
2018-03-13,353.15
2018-03-14,354.05
2018-03-15,353.1
2018-03-16,339.75
2018-03-19,335.7
2018-03-20,338.8
2018-03-21,333.85
2018-03-22,338.2
2018-03-23,330.85
2018-03-26,332.35
2018-03-27,331.15
2018-03-28,326.85
2018-04-02,339.15
2018-04-03,343.1
2018-04-04,355.6
2018-04-05,362.2
2018-04-06,364.1
2018-04-09,358.3
2018-04-10,353.25
2018-04-11,355.8
2018-04-12,358.4
2018-04-13,357.05
2018-04-16,339.15
2018-04-17,336.45
2018-04-18,334.8
2018-04-19,334.25
2018-04-20,336.0
2018-04-23,334.05
2018-04-24,331.55
2018-04-25,328.6
2018-04-26,330.25
2018-04-27,336.9
2018-04-30,340.4
2018-05-02,336.05
2018-05-03,333.5
2018-05-04,334.4
2018-05-07,335.15
2018-05-08,332.15
2018-05-09,341.95
2018-05-10,333.6
2018-05-11,330.8
2018-05-14,323.6
2018-05-15,310.1
2018-05-16,310.25
2018-05-17,314.9
2018-05-18,304.6
2018-05-21,295.9
2018-05-22,307.7
2018-05-23,309.45
2018-05-24,288.65
2018-05-25,294.15
2018-05-28,296.3
2018-05-29,294.65
2018-05-30,288.9
2018-05-31,282.5
2018-06-01,287.2
2018-06-04,286.65
2018-06-05,284.95
2018-06-06,295.65
2018-06-07,305.4
2018-06-08,309.95
2018-06-11,309.75
2018-06-12,307.8
2018-06-13,308.4
2018-06-14,305.9
2018-06-15,302.95
2018-06-18,308.8
2018-06-19,305.05
2018-06-20,305.6
2018-06-21,307.0
2018-06-22,308.0
2018-06-25,289.4
2018-06-26,276.85
2018-06-27,271.05
2018-06-28,263.35
2018-06-29,269.3
2018-07-02,266.7
2018-07-03,269.45
2018-07-04,267.05
2018-07-05,261.55
2018-07-06,270.85
2018-07-09,273.5
2018-07-10,275.45
2018-07-11,267.8
2018-07-12,266.1
2018-07-13,263.6
2018-07-16,252.1
2018-07-17,257.95
2018-07-18,251.85
2018-07-19,252.5
2018-07-20,253.4
2018-07-23,258.75
2018-07-24,258.8
2018-07-25,257.85
2018-07-26,258.25
2018-07-27,268.15
2018-07-30,267.5
2018-07-31,264.1
2018-08-01,265.05
2018-08-02,260.85
2018-08-03,258.45
2018-08-06,254.05
2018-08-07,251.6
2018-08-08,255.15
2018-08-09,257.85
2018-08-10,250.1
2018-08-13,248.7
2018-08-14,248.8
2018-08-16,251.3
2018-08-17,258.25
2018-08-20,270.1
2018-08-21,268.8
2018-08-23,256.9
2018-08-24,255.5
2018-08-27,258.8
2018-08-28,260.0
2018-08-29,261.7
2018-08-30,259.35
2018-08-31,267.5
2018-09-03,266.6
2018-09-04,261.95
2018-09-05,266.5
2018-09-06,269.95
2018-09-07,277.4
2018-09-10,275.7
2018-09-11,267.3
2018-09-12,262.4
2018-09-14,266.6
